Fumeur	Exercice	Sexe
Never	Some	Female
Regul	None	Male
Occas	None	Male
Never	None	Male
Never	Some	Male
Never	Some	Female
Never	Freq	Male
Never	Freq	Female
Never	Some	Male
Never	Some	Male
Never	Freq	Female
Never	Freq	Male
Never	Some	Female
Never	Some	Female
Never	Some	Male
Never	Freq	Female
Never	Freq	Female
Never	Some	Male
Never	Some	Male
Never	Freq	Male
Never	Freq	Male
Never	Freq	Male
Never	Freq	Male
Never	Some	Male
Never	Some	Female
Never	Some	Male
Never	Some	Male
Never	Freq	Male
Never	Freq	Male
Never	Some	Male
Occas	None	Female
Never	Freq	Male
Heavy	Freq	Female
Never	Some	Male
Regul	Some	Male
Occas	Freq	Male
Never	Some	Female
Never	Freq	Male
Never	Some	Male
Occas	Freq	Male
Never	Some	Female
Never	Some	Female
Never	Some	Male
Never	Some	Female
Never	Freq	Female
Never	Freq	Male
Regul	Freq	Male
Never	None	Male
Occas	Some	Female
Never	None	Female
Never	Freq	Male
Never	Freq	Male
Never	Some	Male
Never	Freq	Male
Regul	Freq	Male
Never	Freq	Male
Never	None	Female
Never	Freq	Male
Never	Freq	Male
Occas	Freq	Male
Never	Freq	Male
Never	Freq	Female
Never	Freq	Female
Never	None	Female
Never	Freq	Female
Never	Freq	Male
Never	Freq	Female
Never	Freq	Female
Never	Some	Male
Never	None	Male
Never	Freq	Female
Heavy	Freq	Male
Never	Some	Female
Never	Freq	Female
Never	Some	Female
Heavy	Freq	Female
Never	Some	Female
Heavy	Freq	Female
Never	Some	Female
Never	Freq	Male
Never	Some	Male
Never	Freq	Male
Never	Freq	Female
Never	Some	Female
Never	Freq	Male
Never	Some	Female
Never	Some	Female
Never	Freq	Female
Never	Freq	Male
Never	Some	Female
Never	Some	Male
Never	Some	Female
Never	Some	Female
Never	Some	Female
Heavy	Freq	Male
Never	Some	Female
Regul	Freq	Male
Never	Freq	Female
Never	Freq	Male
Never	Freq	Female
Never	Some	Male
Never	None	Male
Never	Some	Female
Never	Freq	Female
Heavy	Some	Female
Never	Some	Female
Occas	Freq	Female
Never	Freq	Female
Never	Freq	Male
Regul	Some	Male
Never	Freq	Female
Never	None	Male
Never	Freq	Female
Never	Freq	Male
Never	Freq	Female
Never	None	Female
Never	Some	Female
Heavy	Some	Male
Never	Some	Female
Heavy	Freq	Male
Occas	Freq	Male
Occas	Freq	Male
Never	Freq	Female
Never	Freq	Male
Never	Freq	Male
Never	Freq	Male
Never	Freq	Female
Regul	Freq	Male
Never	Freq	Female
Never	Some	Female
Never	Freq	Male
Never	Some	Male
Never	Some	Female
Occas	Freq	Female
Never	Some	Male
Regul	Some	Male
Never	Freq	Female
Never	Freq	Male
Never	Freq	Male
Never	None	Female
Never	Some	Female
Never	None	Female
Never	Freq	Female
Never	Some	Male
Never	Freq	Female
Never	Some	Male
Regul	Freq	Male
Never	Freq	Male
Never	Freq	Female
Never	Freq	Female
Never	Freq	Male
Never	Freq	Female
Regul	Some	Female
Never	Freq	Male
Never	None	Male
Never	Freq	Male
Heavy	Freq	Male
Never	Some	Female
Never	None	Male
Regul	Freq	Male
Never	None	Female
Never	Some	Male
Never	Some	Male
Occas	Freq	Female
Never	Some	Male
Never	Some	Female
Never	Some	Female
Regul	Some	Female
Never	Freq	Male
Never	Freq	Male
Never	Some	Female
Occas	Some	Male
Regul	Some	Female
Never	Freq	Female
Never	Freq	Female
Never	Freq	Female
Regul	Freq	Male
Never	Freq	Female
Regul	Freq	Female
Never	Some	Female
Occas	Freq	Male
Occas	Freq	Female
Never	Some	Female
Never	Freq	Male
Never	Some	Male
Never	Some	Male
Never	Some	Female
Never	None	Male
Never	Freq	Male
Never	Freq	Male
Never	Some	Male
Never	Some	Male
Occas	None	Male
Never	Some	Female
Never	None	Female
Never	Some	Female
Never	Freq	Female
Never	Freq	Male
Occas	Some	Female
Never	Some	Female
Occas	Some	Female
Never	Freq	Male
Never	Some	Female
Never	None	Female
Regul	Some	Male
Occas	Freq	Female
Never	Some	Female
Never	Some	Male
Never	None	Male
Never	Freq	Female
Never	Some	Female
Never	Some	Female
Never	Freq	Male
Never	Some	Male
Never	Some	Female
Never	Some	Male
Never	None	Female
Never	Freq	Male
Never	Freq	Female
Never	Freq	Male
Heavy	None	Male
Never	Freq	Female
Never	Some	Female
Never	Freq	Female
Never	Some	Female
Never	Some	Female
Heavy	Some	Female
Never	Freq	Male
Regul	Freq	Female
Occas	Freq	Male
Never	Some	Female
Never	Some	Male
Never	Some	Female
Never	Some	Female
Never	Some	Female
Never	Some	Male
Never	Freq	Female
