id	age	sexe	nivetud	qualif	freres.soeurs	clso	trav.imp	trav.satisf	hard.rock	lecture.bd	peche.chasse	cuisine	bricol	cinema	sport	heures.tv
1	28	Femme	Enseignement_superieur_y_compris_technique_superieur	Employe	8	Oui	Peu_important	Insatisfaction	Non	Non	Non	Oui	Non	Non	Non	0
3	59	Homme	Derniere_annee_d'etudes_primaires	Technicien	2	Non	Aussi_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Oui	0
4	34	Homme	Enseignement_superieur_y_compris_technique_superieur	Technicien	1	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Oui	Oui	2
6	35	Femme	Enseignement_technique_ou_professionnel_court	Employe	5	Non	Le_plus_important	Equilibre	Non	Non	Non	Non	Non	Oui	Oui	2
8	47	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	5	Non	Peu_important	Insatisfaction	Non	Non	Oui	Oui	Oui	Non	Non	1
10	28	Homme	Enseignement_technique_ou_professionnel_long	Autre	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Oui	2
12	47	Homme	2eme_cycle	Ouvrier_qualifie	4	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Oui	0
16	49	Femme	Enseignement_technique_ou_professionnel_court	Employe	3	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Oui	Non	0
20	39	Femme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	5	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Non	Oui	Oui	2.7
21	30	Femme	Enseignement_technique_ou_professionnel_court	Employe	6	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Oui	Non	Non	4
22	30	Homme	Enseignement_technique_ou_professionnel_court	Employe	2	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Non	Non	Non	6
23	37	Femme	Enseignement_technique_ou_professionnel_court	Employe	4	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Oui	Non	Oui	Oui	0
27	31	Femme	Enseignement_technique_ou_professionnel_long	Ouvrier_qualifie	1	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Oui	Non	Non	Non	1
28	35	Homme	1er_cycle	Ouvrier_specialise	6	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Oui	Non	Non	Non	Non	1
29	35	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	2	Non	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Non	Non	4
30	30	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	1	Oui	Aussi_important_que_le_reste	Satisfaction	Non	Non	Oui	Oui	Oui	Oui	Oui	3
31	54	Homme	Enseignement_technique_ou_professionnel_court	Employe	2	Non	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Non	0
32	29	Homme	Enseignement_technique_ou_professionnel_court	Autre	2	Oui	Moins_important_que_le_reste	Satisfaction	Oui	Non	Non	Oui	Oui	Oui	Non	1
36	41	Femme	1er_cycle	Employe	3	Oui	Moins_important_que_le_reste	Insatisfaction	Non	Non	Non	Non	Non	Oui	Non	4
37	53	Homme	Enseignement_technique_ou_professionnel_court	Ouvrier_qualifie	0	Oui	Moins_important_que_le_reste	Equilibre	Non	Non	Non	Non	Oui	Non	Oui	1
40	56	Homme	Enseignement_superieur_y_compris_technique_superieur	Cadre	1	Oui	Moins_important_que_le_reste	Satisfaction	Non	Non	Non	Non	Oui	Non	Non	3
