"echantillon" "souche" "activite_ph6" "activite_ph7"
"e1" "souche_a" 60.68 55.65
"e2" "souche_a" 25 96.92
"e3" "souche_a" 53.23 18.99
"e4" "souche_d" 47.8 38.38
"e5" "souche_d" 25.86 64.09
"e6" "souche_a" 29.54 52.85
"e7" "souche_d" 53.89 48.97
"e8" "souche_b" 37.49 59.68
"e9" "souche_a" 38.59 44.16
"e10" "souche_d" 48.78 55.21
"e11" "souche_d" 18.41 69.01
"e12" "souche_c" 47.02 48.23
"e13" "souche_a" 42.95 45.46
"e14" "souche_c" 36.98 62.18
"e15" "souche_d" 39.26 58.44
"e16" "souche_c" 53.03 49.49
"e17" "souche_c" 50.22 53.45
"e18" "souche_d" 54.15 47.91
"e19" "souche_a" 43.92 45.84
"e20" "souche_c" 45.49 54.74
"e21" "souche_b" 43.97 66.15
"e22" "souche_b" 49.31 55.64
"e23" "souche_c" 47.72 54.8
"e24" "souche_d" 47.78 43.08
"e25" "souche_a" 44.26 43.53
"e26" "souche_d" 54.26 63.44
"e27" "souche_a" 40 60.2
"e28" "souche_c" 49.85 52.51
"e29" "souche_c" 39.58 54.33
"e30" "souche_b" 36.98 64.63
"e31" "souche_d" 39.55 32
"e32" "souche_d" 40.82 46.45
"e33" "souche_b" 50.5 55.19
"e34" "souche_b" 56.65 51.54
"e35" "souche_b" 52.89 56.82
"e36" "souche_d" 55.09 48.21
"e37" "souche_c" 51.28 50.57
"e38" "souche_a" 43.94 50.61
"e39" "souche_a" 18.56 46.26
"e40" "souche_d" 52.94 56.29
"e41" "souche_c" 36.79 54.08
"e42" "souche_a" 75.65 32.82
"e43" "souche_a" 36.29 51.11
"e44" "souche_b" 41.48 46.38
"e45" "souche_b" 46.14 56.97
"e46" "souche_c" 44.3 37.94
"e47" "souche_b" 50.7 44.84
"e48" "souche_d" 61.37 68.86
"e49" "souche_b" 38.24 53.55
"e50" "souche_b" 59.5 50.35
"e51" "souche_b" 49.48 48.53
"e52" "souche_c" 55.69 54.21
"e53" "souche_a" 65.43 49.77
"e54" "souche_a" 53.92 41.15
"e55" "souche_c" 55.89 56
"e56" "souche_a" 49.83 70.78
"e57" "souche_a" 44.61 54.62
"e58" "souche_a" 60.59 56.69
"e59" "souche_a" 58.57 32.78
"e60" "souche_c" 45.27 62.12
"e61" "souche_d" 46.35 53.33
"e62" "souche_b" 39.7 54.25
"e63" "souche_a" 35.45 59.65
"e64" "souche_b" 47.22 44.44
"e65" "souche_d" 53.51 63.55
"e66" "souche_d" 32.52 59
"e67" "souche_a" 45.57 53.32
"e68" "souche_d" 37.85 44.31
"e69" "souche_b" 43.97 53.6
"e70" "souche_a" 59.38 64.69
"e71" "souche_b" 50.08 45.27
"e72" "souche_d" 54.13 56.68
"e73" "souche_b" 47.95 48.09
"e74" "souche_c" 32.93 44.34
"e75" "souche_c" 44.17 46.22
"e76" "souche_c" 42.52 48.05
"e77" "souche_b" 47.98 51.22
"e78" "souche_c" 54.24 62.73
"e79" "souche_b" 53.15 49.03
"e80" "souche_a" 32.56 80.65
