"echantillon" "levure" "ethanol_anaerobie" "ethanol_aerobie" "temperature" "sucre_initial"
"f1" "S_bayanus" 12.06 8.37 28 130.1
"f2" "S_cerevisiae" 10.15 7.37 28.5 113.4
"f3" "S_cerevisiae" 11.03 6.91 29 145.9
"f4" "K_pastoris" 8.51 6.89 29 164.7
"f5" "K_marxianus" 18.07 2.48 29 192.7
"f6" "K_pastoris" 8.52 9.36 28 127.4
"f7" "S_bayanus" 7.49 4.69 29 169.6
"f8" "K_pastoris" 7.34 6.56 29 179.8
"f9" "S_cerevisiae" 7.97 6.58 28.5 104.2
"f10" "K_marxianus" 2 8.41 28.5 162.6
"f11" "S_cerevisiae" 7.76 9.16 29.5 100.7
"f12" "S_bayanus" 9.45 2.45 29.5 158.3
"f13" "S_cerevisiae" 8.42 10.51 28.5 150.8
"f14" "K_pastoris" 8.18 9.17 28 160.5
"f15" "K_marxianus" 14.54 6.17 28 158.5
"f16" "K_marxianus" 9 6.29 29.5 124.8
"f17" "K_marxianus" 9.56 5 28 150.2
"f18" "S_bayanus" 14.74 7.96 28 172.4
"f19" "K_pastoris" 10.68 7.92 28 126.9
"f20" "K_pastoris" 9.64 8.71 29 132.2
"f21" "K_marxianus" 8.16 7.92 28 169.4
"f22" "K_marxianus" 6.19 1.78 29.5 190.8
"f23" "S_cerevisiae" 8.03 7.4 28.5 170.9
"f24" "S_bayanus" 8.88 5.42 29.5 168.5
"f25" "S_bayanus" 9.1 5.27 28.5 114.9
"f26" "S_cerevisiae" 8.71 9.69 28.5 112.4
"f27" "S_bayanus" 7.61 6.64 28.5 155.9
"f28" "K_pastoris" 8.57 6.38 29 183.9
"f29" "K_pastoris" 10 4.23 28 138.2
"f30" "K_marxianus" 7.95 10.08 29.5 183
"f31" "K_pastoris" 10.43 6.16 29 154.2
"f32" "S_cerevisiae" 8.75 8.06 28.5 147.7
"f33" "K_marxianus" 11.05 7.57 28 131
"f34" "S_bayanus" 8.58 7.17 29.5 129.6
"f35" "K_marxianus" 9.87 2 28 105.4
"f36" "S_cerevisiae" 8.45 9.9 28 187.9
"f37" "K_pastoris" 10.71 3.76 28 188.1
"f38" "K_marxianus" 13.16 10.45 28.5 185.3
"f39" "K_marxianus" 2.2 7.41 29 122.4
"f40" "S_bayanus" 4 2.88 29 136.6
"f41" "S_bayanus" 11.24 5.71 28 126.9
"f42" "S_bayanus" 9.13 7.63 29.5 121.5
"f43" "S_cerevisiae" 11.5 7.54 28.5 145.3
"f44" "K_marxianus" 9.8 8.75 29.5 199.5
"f45" "S_bayanus" 8.46 10.52 28 197.3
"f46" "S_bayanus" 7.98 9.26 29.5 181.2
"f47" "K_marxianus" 9.68 4.9 28 146
"f48" "S_bayanus" 11.51 7.22 29 145.2
"f49" "K_pastoris" 9.42 6.71 28 117.2
"f50" "K_pastoris" 9.26 7.44 29 199.7
"f51" "K_marxianus" 5.79 9.71 29 134.2
"f52" "S_cerevisiae" 9 8.53 28.5 135.7
"f53" "K_marxianus" 13.94 10.15 28 197.9
"f54" "S_bayanus" 10.87 3.28 28 110.5
"f55" "S_bayanus" 9.61 7.85 29 159.7
"f56" "K_pastoris" 8.06 6.65 29.5 147.7
"f57" "K_pastoris" 9.98 6.18 28 125.7
"f58" "K_marxianus" 11.84 6.06 28.5 180.7
"f59" "S_bayanus" 8.89 6.86 28 182.1
"f60" "K_marxianus" 4.74 3.47 28 110.1
"f61" "K_marxianus" 9.35 5.7 28.5 180.6
"f62" "S_cerevisiae" 7.41 8.47 29.5 101.8
"f63" "K_marxianus" 19.09 13.39 28 149.2
"f64" "K_pastoris" 9.66 9.48 28.5 155.6
"f65" "S_bayanus" 11.18 7.55 28 166.5
"f66" "K_pastoris" 5.42 8.05 28.5 135.9
"f67" "K_pastoris" 9.69 8.58 29.5 106.1
"f68" "K_marxianus" 13.45 12.42 28 108.7
"f69" "K_pastoris" 7.53 7.82 29 117.1
"f70" "S_bayanus" 9.22 4.51 29 108.7
"f71" "K_marxianus" 4.34 10.05 28 171.3
"f72" "K_pastoris" 9.91 8.53 29.5 113.6
